,sex,age
535,M,12
536,F,9
537,M,4
538,M,0
539,M,40
540,F,35
541,M,18
542,F,15
543,F,12
544,F,10
545,M,5
546,F,2
547,M,52
548,F,40
549,F,14
550,F,11
551,F,5
552,M,4
553,M,21
554,M,35
555,F,30
556,M,4
557,F,1
558,M,37
559,M,60
560,F,32
561,M,50
562,F,70
563,M,46
564,F,40
565,M,9
566,M,42
567,M,70
568,F,65
569,F,35
570,F,12
571,M,9
572,F,6
573,M,4
574,F,40
575,M,7
576,F,3
577,M,42
578,F,38
579,M,20
580,F,14
581,M,16
582,M,13
583,F,10
584,M,5
585,M,1
586,M,65
587,F,60
588,M,37
589,F,32
590,M,29
591,F,22
592,M,24
593,F,9
594,M,5
595,F,0
596,M,0
597,M,50
598,F,70
599,F,45
600,M,19
601,F,10
602,F,6
603,M,3
604,F,1
605,M,55
606,F,75
607,F,50
608,M,32
609,F,28
610,M,18
611,M,10
612,M,9
613,F,6
614,F,4
615,F,2
616,F,35
617,M,25
618,F,50
619,M,15
620,F,9
621,M,60
622,F,50
623,M,35
624,F,30
625,M,30
626,F,25
627,M,13
628,M,11
629,F,2
630,M,52
631,F,34
632,M,12
633,M,45
634,F,35
635,M,17
636,M,13
637,M,11
638,F,9
639,M,40
640,F,35
641,M,16
642,F,14
643,M,12
644,M,10
645,M,8
646,M,60
647,F,50
648,M,15
649,F,25
650,F,4
651,M,3
652,M,7
653,F,0
654,M,30
655,M,26
656,F,50
657,F,20
658,M,1
659,F,0
660,M,50
661,F,40
662,M,15
663,M,14
664,F,9
665,M,7
666,M,40
667,F,35
668,F,17
669,F,15
670,F,13
671,F,12
672,F,11
673,M,10
674,M,6
675,M,3
676,M,50
677,F,75
678,F,40
679,M,21
680,M,16
681,F,14
682,F,3
683,M,31
684,M,75
685,F,60
686,F,35
687,M,35
688,F,30
689,F,25
690,F,16
691,F,13
692,M,10
693,M,7
694,M,5
695,F,3
696,F,0
697,F,5
698,M,3
699,M,1
700,F,0
701,F,55
702,M,29
703,F,22
704,F,0
705,M,72
706,M,35
707,F,26
708,M,7
709,F,4
710,F,0
711,F,13
712,M,16
713,M,27
714,M,42
715,F,37
716,M,21
717,M,16
718,M,14
719,M,10
720,F,6
721,M,4
